住民基本台帳による人口,,,(令和6年(2024年)4月末日現在）,,,,,,,,
町名,世帯数,人口計,人口（男）,人口（女）,,,,,,,
入舟町,353,523,217,306,,,,,,,
船見町,472,813,374,439,,,,,,,
弥生町,565,955,427,528,,,,,,,
弁天町,525,828,367,461,,,,,,,
大町,342,555,270,285,,,,,,,
末広町,576,839,344,495,,,,,,,
元町,522,843,368,475,,,,,,,
青柳町,916,1585,717,868,,,,,,,
谷地頭町,716,1232,535,697,,,,,,,
住吉町,499,767,335,432,,,,,,,
宝来町,752,1259,550,709,,,,,,,
東川町,607,981,410,571,,,,,,,
豊川町,460,716,325,391,,,,,,,
大手町,435,608,290,318,,,,,,,
栄町,576,883,377,506,,,,,,,
旭町,370,551,224,327,,,,,,,
東雲町,216,378,156,222,,,,,,,
大森町,861,1264,604,660,,,,,,,
松風町,270,371,159,212,,,,,,,
若松町,623,997,433,564,,,,,,,
千歳町,511,767,364,403,,,,,,,
新川町,656,977,437,540,,,,,,,
上新川町,338,534,230,304,,,,,,,
海岸町,650,992,441,551,,,,,,,
大縄町,734,1145,523,622,,,,,,,
松川町,1191,1925,858,1067,,,,,,,
万代町,720,1066,494,572,,,,,,,
浅野町,1,2,1,1,,,,,,,
吉川町,349,624,287,337,,,,,,,
北浜町,433,658,286,372,,,,,,,
港町１丁目,1296,2183,1062,1121,,,,,,,
港町２丁目,717,1225,576,649,,,,,,,
港町３丁目,918,1260,625,635,,,,,,,
追分町,504,974,478,496,,,,,,,
亀田町,892,1479,686,793,,,,,,,
大川町,1245,2075,876,1199,,,,,,,
田家町,1320,2209,968,1241,,,,,,,
白鳥町,928,1480,675,805,,,,,,,
八幡町,932,1520,711,809,,,,,,,
宮前町,1226,1822,816,1006,,,,,,,
中島町,1335,2055,893,1162,,,,,,,
千代台町,1137,1700,762,938,,,,,,,
堀川町,1062,1689,741,948,,,,,,,
高盛町,870,1470,641,829,,,,,,,
宇賀浦町,508,775,355,420,,,,,,,
日乃出町,814,1217,572,645,,,,,,,
的場町,1107,1912,823,1089,,,,,,,
時任町,1019,1699,725,974,,,,,,,
杉並町,762,1246,532,714,,,,,,,
本町,1126,1577,677,900,,,,,,,
梁川町,858,1335,612,723,,,,,,,
五稜郭町,894,1270,572,698,,,,,,,
柳町,386,637,293,344,,,,,,,
松陰町,1296,2278,996,1282,,,,,,,
人見町,998,1690,730,960,,,,,,,
金堀町,449,708,342,366,,,,,,,
乃木町,645,1162,591,571,,,,,,,
柏木町,1770,2995,1305,1690,,,,,,,
川原町,939,1409,623,786,,,,,,,
本庁管内分,44192,70689,31661,39028,,,,,,,
深堀町,2723,4435,1837,2598,,,,,,,
駒場町,865,1377,527,850,,,,,,,
広野町,343,516,337,179,,,,,,,
湯浜町,1334,2005,877,1128,,,,,,,
湯川町１丁目,1040,1594,662,932,,,,,,,
湯川町２丁目,1280,2038,892,1146,,,,,,,
湯川町３丁目,1410,2156,892,1264,,,,,,,
戸倉町,934,1776,865,911,,,,,,,
榎本町,707,1224,536,688,,,,,,,
花園町,1686,2834,1231,1603,,,,,,,
日吉町１丁目,1273,2129,1131,998,,,,,,,
日吉町２丁目,1571,3115,1421,1694,,,,,,,
日吉町３丁目,1652,2874,1214,1660,,,,,,,
日吉町４丁目,1149,2122,947,1175,,,,,,,
上野町,1267,2192,1010,1182,,,,,,,
高丘町,1527,2557,1159,1398,,,,,,,
滝沢町,234,368,158,210,,,,,,,
見晴町,205,386,166,220,,,,,,,
鈴蘭丘町,75,92,41,51,,,,,,,
上湯川町,1797,2979,1364,1615,,,,,,,
銅山町,34,40,14,26,,,,,,,
旭岡町,119,172,67,105,,,,,,,
西旭岡町１丁目,499,882,394,488,,,,,,,
